family	group_id	repository	path	ref	direct_skill_url	archetype	relatedness_score	group_member_count	occurrence_count	length_delta	added_headings	removed_headings	added_commands	removed_commands	added_cross_skill_refs	removed_cross_skill_refs	routing_signals	wrapper_signals	workflow_structure_delta	short_added_excerpt	short_removed_excerpt	meaningful_behavior_change	motif_1	motif_2	motif_3	worth_reviewing	notes
brainstorming	56	majiayu000/claude-skill-registry-data	planning/brainstorming-mattjefferson-agents/SKILL.md	main	https://github.com/majiayu000/claude-skill-registry-data/blob/main/planning/brainstorming-mattjefferson-agents/SKILL.md	compact-rewrite	0.468	1	1	-0.6262733165762667	19	9	0	1	0	5			1.474	++ | # Brainstorming | This skill provides detailed process knowledge for effective brainstorming sessions that clarify **WHAT** to build befor	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	NO				NO	
brainstorming	57	qq1030655828/modhanhui	.opencode/skills/brainstorming/SKILL.md	main	https://github.com/qq1030655828/modhanhui/blob/main/.opencode/skills/brainstorming/SKILL.md	workflow-specialization	0.537	1	1	-0.9617012832385237	3	9	0	3	0	5			1.333	++ | ## Use when | Use this when requirements are incomplete, ambiguous, or need to be turned into an implementable design.	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add restate-goal and missing-constraints step			PARTIAL	
brainstorming	58	incubyte/ai-plugins	bee/skills/brainstorming/SKILL.md	main	https://github.com/incubyte/ai-plugins/blob/main/bee/skills/brainstorming/SKILL.md	routing-specialization	0.448	1	1	-0.5719010451117873	15	9	1	1	0	5	do not use; owns		1.6	"++ | # Brainstorming | **Deferred Tool Loading:** If deferred tools have not been loaded yet, call `ToolSearch` with query `""select:AskUserQues"	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add explicit diverge/converge two-phase split			YES	
brainstorming	59	RudyB3N8/antigravity-skills	brainstorming/SKILL.md	master	https://github.com/RudyB3N8/antigravity-skills/blob/master/brainstorming/SKILL.md	compact-rewrite	0.447	1	1	-0.5691228998544781	6	9	0	3	0	5			1.667	++ | # Générer des idées vers des Designs (Brainstorming) | Cette compétence permet de transformer des idées vagues en designs complets et en spécifications grâce à un dialogue col	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Translate bilingual and add decision-tree companion			PARTIAL	
brainstorming	60	stvhay/pi-setup	pi/agent/skills/brainstorming/SKILL.md	main	https://github.com/stvhay/pi-setup/blob/main/pi/agent/skills/brainstorming/SKILL.md	routing-specialization	0.462	1	1	-0.652401111258103	17	8	1	2	0	4	do not use; owns		1.389	++ | Turn an idea into an approved design before implementation. Scale ceremony to risk; do not skip the approval gate. | At start, read shared conventions if needed:	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add hard gate with filesystem-first context and design-doc template			YES	
brainstorming	61	krone9/pi-superpowers	skills/brainstorming/SKILL.md	main	https://github.com/krone9/pi-superpowers/blob/main/skills/brainstorming/SKILL.md	compact-rewrite	0.523	1	1	-0.9271729064691097	4	9	0	3	0	5			1.444	"++ | # Brainstorming | Use this when the user's request is open-ended (""build X"", ""design Y"", ""what should we do about Z"") and the requirements"	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add open-ended-trigger and handoff			PARTIAL	
brainstorming	62	discountedcookie/10x-mapmaster	.opencode/skills/brainstorming/SKILL.md	main	https://github.com/discountedcookie/10x-mapmaster/blob/main/.opencode/skills/brainstorming/SKILL.md	compact-rewrite	0.497	1	1	-0.8345019182431539	14	9	0	3	0	5			1.643	++ | # Brainstorming | Refine rough ideas into concrete designs through iterative questioning.	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add one-question-at-a-time iron law			YES	
brainstorming	63	reidemeister94/development-skills	skills/brainstorming/SKILL.md	main	https://github.com/reidemeister94/development-skills/blob/main/skills/brainstorming/SKILL.md	compact-rewrite	0.516	1	1	-0.9166556422807249	1	9	0	3	0	5			1.111	++ | # Brainstorming | Interview the user relentlessly about every aspect of this until we reach a shared understanding. Walk down each branch 	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add deep decision-tree interview protocol			MAYBE	
brainstorming	64	jttd3v/public-cms	.claude/skills/brainstorming/SKILL.md	master	https://github.com/jttd3v/public-cms/blob/master/.claude/skills/brainstorming/SKILL.md	routing-specialization	0.45	1	1	-0.6252149755258632	26	9	0	2	0	4	owns		1.346	++ | # Brainstorming & Planning — CAMII CMS | ## Purpose	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add domain/architecture/security check gates (project-specific)			YES	
brainstorming	65	tomevault-io/tomes	sandgardenhq--sgai/skills/brainstorming/SKILL.md	main	https://github.com/tomevault-io/tomes/blob/main/sandgardenhq--sgai/skills/brainstorming/SKILL.md	routing-specialization	0.447	1	1	-0.6639105701812409	9	7	0	1	0	1	heading: Related Skills; related skills		1.455	++ | ## Overview | Transform rough ideas into fully-formed designs through structured questioning and alternative exploration.	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add validation-criteria phase			PARTIAL	
brainstorming	66	korallis/Droidz	droidz_installer/payloads/droid_cli/default/skills/brainstorming/SKILL.md	main	https://github.com/korallis/Droidz/blob/main/droidz_installer/payloads/droid_cli/default/skills/brainstorming/SKILL.md	compact-rewrite	0.506	1	1	-0.9366318296070909	4	9	0	3	0	5			1.444	++ | # Brainstorming - Idea Refinement | ## When to use this skill	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add when-to-trigger matrix and resources			PARTIAL	
brainstorming	67	bg-szy/TOP-SKILLS	skills/marketplace/brainstorming__skills-dmjgilbert-brainstorming/SKILL.md	master	https://github.com/bg-szy/TOP-SKILLS/blob/master/skills/marketplace/brainstorming__skills-dmjgilbert-brainstorming/SKILL.md	compact-rewrite	0.478	1	1	-0.8071834898796137	24	9	0	2	0	4			1.375	++ | # Brainstorming & Design Refinement | Transform rough ideas into validated designs through structured Socratic dialogue before any implementation begins.	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	NO				PARTIAL	
brainstorming	68	yywmrz/antigravity-superpowers	skills-en/brainstorming/SKILL.md	main	https://github.com/yywmrz/antigravity-superpowers/blob/main/skills-en/brainstorming/SKILL.md	compact-rewrite	0.494	1	1	-0.9247916391057018	8	9	0	3	0	4			1.889	++ | # Brainstorming Skill | Conduct design discussions and requirement clarification before any coding work.	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add trigger conditions and validate-in-sections			PARTIAL	
brainstorming	69	David-Li0406/meta-skill-evloving	skill-flow/data/skills-refined-36k/skillsmp/brainstorming-55/SKILL.md	main	https://github.com/David-Li0406/meta-skill-evloving/blob/main/skill-flow/data/skills-refined-36k/skillsmp/brainstorming-55/SKILL.md	compact-rewrite	0.475	1	1	-0.8402566477047229	10	9	0	3	0	5			1.9	++ | # Brainstorming: Conversation Techniques | ## Purpose	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add conversation-technique protocol (one question/multiple choice)			PARTIAL	
brainstorming	70	majiayu000/spellbook	skills/brainstorming.SKILL.md	main	https://github.com/majiayu000/spellbook/blob/main/skills/brainstorming.SKILL.md	compact-rewrite	0.459	1	1	-0.77880672046567	16	9	0	2	0	5			1.562	++ | # Brainstorming | > From [obra/superpowers](https://github.com/obra/superpowers)	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add three-phase structure with approach comparison			PARTIAL	
brainstorming	71	vamseeachanta/workspace-hub	.claude/skills/_internal/workflows/brainstorming/SKILL.md	main	https://github.com/vamseeachanta/workspace-hub/blob/main/.claude/skills/_internal/workflows/brainstorming/SKILL.md	routing-specialization	0.446	1	1	-0.7275433258367509	22	9	0	3	0	4	heading: Related Skills; related skills		1.409	++ | # Brainstorming | ## Overview	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add related-skill routing and quick start			PARTIAL	
brainstorming	72	majiayu000/claude-skill-registry-data	other/brainstorming-arbiterforge-codearbiter/SKILL.md	main	https://github.com/majiayu000/claude-skill-registry-data/blob/main/other/brainstorming-arbiterforge-codearbiter/SKILL.md	compact-rewrite	0.415	1	1	-0.609406006085461	7	9	0	3	0	5	route to		1.778	++ | # brainstorming | Refine the idea before it touches code. Routed to by `/feature` (before `tdd`) and by `/sprint` (the planning front).	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add phase-gate stops (BLOCK/STOP) and routed entry points			YES	
brainstorming	73	majiayu000/claude-skill-registry	skills/creative/brainstorming/SKILL.md	main	https://github.com/majiayu000/claude-skill-registry/blob/main/skills/creative/brainstorming/SKILL.md	compact-rewrite	0.49	1	2	-0.9323984654054769	6	9	0	3	0	5	owns		1.667	++ | # Brainstorming | ## Overview	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add purpose boundary vs research			PARTIAL	
brainstorming	74	LucaDominici/arbiter	src/templates/claude/skills/brainstorming/SKILL.md.ejs	main	https://github.com/LucaDominici/arbiter/blob/main/src/templates/claude/skills/brainstorming/SKILL.md.ejs	compact-rewrite	0.472	1	1	-0.8737928297393835	10	9	2	2	0	4			1.9	++ | # Brainstorming Skill | Activate when the user asks to brainstorm, explore options, think through a design, or gather ideas before implementatio	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add entry flag and frame/options/design-doc steps			PARTIAL	
brainstorming	75	ArchieIndian/openclaw-superpowers	skills/core/brainstorming/SKILL.md	main	https://github.com/ArchieIndian/openclaw-superpowers/blob/main/skills/core/brainstorming/SKILL.md	compact-rewrite	0.491	1	2	-0.959716893769017	5	8	0	3	0	5	owns		1.444	++ | # Brainstorming | Before implementing anything non-trivial, brainstorm first.	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add restate/options-min-3/evaluate/commit process			PARTIAL	
brainstorming	76	Yassimba/loom	skills/brainstorming/SKILL.md	main	https://github.com/Yassimba/loom/blob/main/skills/brainstorming/SKILL.md	compact-rewrite	0.467	1	1	-0.8522291308374124	4	9	0	2	0	5			1.444	++ | # Brainstorming | Turn a fuzzy idea into a clear direction through conversation. Brainstorming answers **what are we trying to do?** — *ho	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add scope split with other skills (what vs how)			YES	
brainstorming	77	majiayu000/claude-skill-registry	skills/design/brainstorming/SKILL.md	main	https://github.com/majiayu000/claude-skill-registry/blob/main/skills/design/brainstorming/SKILL.md	compact-rewrite	0.456	1	2	-0.8126074877629316	31	9	0	2	0	5			1.29	++ | # Brainstorming | ## Core Principle	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add design-before-code-always core principle			PARTIAL	
brainstorming	78	tapway/tapway-superpowers	skills/brainstorming/SKILL.md	master	https://github.com/tapway/tapway-superpowers/blob/master/skills/brainstorming/SKILL.md	compact-rewrite	0.441	1	1	-0.7850244741367906	12	9	1	2	0	5			1.75	++ | # Skill: Brainstorming | **When to invoke:** Before writing any code for a new feature, architecture decision, or complex bug. If there's even a 	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add name-your-confusion step with optional deep research			MAYBE	
brainstorming	79	VinhHoang03/Handigo-Platform	.agents/skills/brainstorming/SKILL.md	main	https://github.com/VinhHoang03/Handigo-Platform/blob/main/.agents/skills/brainstorming/SKILL.md	compact-rewrite	0.41	1	1	-0.7132557216563038	19	9	0	2	0	5			1.474	++ | # Brainstorming & Communication Protocol | > **MANDATORY:** Use for complex/vague requests, new features, updates.	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add mandatory 3-questions enforcement gate			YES	
brainstorming	80	KpG782/3D_Portfolio	.claude/skills/brainstorming/SKILL.md	master	https://github.com/KpG782/3D_Portfolio/blob/master/.claude/skills/brainstorming/SKILL.md	compact-rewrite	0.436	1	1	-0.8843762402434184	9	9	0	3	0	5			2.0	++ | # Brainstorming | Generate a real spread of options, stress-test them, and converge on a	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add frame/diverge/pressure-test/recommend flow			PARTIAL	
brainstorming	81	IHiter-2026-Wheeled-Bipedal-Soldier/Wheeled_Bipedal_Shared_CC_Config	skills/brainstorming/SKILL.md	main	https://github.com/IHiter-2026-Wheeled-Bipedal-Soldier/Wheeled_Bipedal_Shared_CC_Config/blob/main/skills/brainstorming/SKILL.md	compact-rewrite	0.452	1	1	-0.9747982537372668	3	9	0	3	0	5			1.333	++ | # Brainstorming | ## Workflow	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add domain-reference lookup and safety-boundary rules			MAYBE	
brainstorming	82	MaxFerAlten/tenderclaw	skills/brainstorming/SKILL.md	main	https://github.com/MaxFerAlten/tenderclaw/blob/main/skills/brainstorming/SKILL.md	compact-rewrite	0.41	1	1	-0.8504431803148564	7	9	0	2	0	5			1.778	++ | # Brainstorming — Design-First HARD-GATE | ## HARD-GATE RULE	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add explicit hard-gate implementation lock			YES	
brainstorming	83	modbender/skill-library-mcp	data/brainstorming-2/SKILL.md	main	https://github.com/modbender/skill-library-mcp/blob/main/data/brainstorming-2/SKILL.md	compact-rewrite	0.42	1	1	-0.8759756581558408	16	9	0	2	0	3			1.562	++ | # Brainstorming Skill | ## When to Use	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add trigger-step design-document workflow			PARTIAL	
brainstorming	84	dxc-danny/superpowers-cn	skills/brainstorming/SKILL.md	main	https://github.com/dxc-danny/superpowers-cn/blob/main/skills/brainstorming/SKILL.md	no-label	0.372	1	1	-0.7237068395290382	8	9	0	2	0	4			1.889	++ | # 将想法 brainstorming 成设计 | 通过自然协作对话帮助将想法转化为完全形成的设计和规格。	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add explicit hard-gate implementation lock	Translate bilingual		YES	
brainstorming	85	majiayu000/claude-skill-registry	skills/analysis/brainstorming-research-ideas-ihatesea69-hieunghi-ai-skills/SKILL.md	main	https://github.com/majiayu000/claude-skill-registry/blob/main/skills/analysis/brainstorming-research-ideas-ihatesea69-hieunghi-ai-skills/SKILL.md	no-label	0.367	1	2	0.23276888477311813	20	9	0	1	0	5	do not use		1.45	++ | # Research Idea Brainstorming | Structured frameworks for discovering the next research idea. This skill provides ten complementary ideation lenses that	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	NO				NO	
brainstorming	86	Agentic-Engineering-Agency/agentic-pm-kit	skills/pm-kit/brainstorming-lab/SKILL.md	master	https://github.com/Agentic-Engineering-Agency/agentic-pm-kit/blob/master/skills/pm-kit/brainstorming-lab/SKILL.md	no-label	0.365	1	1	-0.20849318692948804	5	9	0	1	0	4			1.556	++ | > Adapted from bmad-method:bmad-brainstorming (MIT, © 2025 BMad Code, LLC). See THIRD_PARTY_NOTICES.md. | ## When to use	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add facilitation-script/SME-invocation meta-layer with third-party notice			MAYBE	
brainstorming	87	CellCog/skills	skills/brainstorming-strategy-cellcog/SKILL.md	main	https://github.com/CellCog/skills/blob/main/skills/brainstorming-strategy-cellcog/SKILL.md	no-label	0.366	1	1	-0.40713057282709353	18	9	3	3	0	5	don't use		1.5	++ | # Brainstorming & Strategy - Your Alfred for Complex Ideas | **Complex ideas need iteration, not conversation.** Think → Do → Review → Repeat.	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	NO				PARTIAL	
brainstorming	88	majiayu000/claude-skill-registry	skills/data/brainstorming-ideas/SKILL.md	main	https://github.com/majiayu000/claude-skill-registry/blob/main/skills/data/brainstorming-ideas/SKILL.md	no-label	0.353	1	1	-0.3346342108744543	27	8	1	1	0	5			1.25	++ | Transform vague ideas into fully-formed designs through structured collaborative dialogue. | **Use TodoWrite** to track these 7 phases:	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add 7-phase todo structure with 5WH question framework			PARTIAL	
brainstorming	89	lemieux/rfc-skills	skills/brainstorming-rfc/SKILL.md	main	https://github.com/lemieux/rfc-skills/blob/main/skills/brainstorming-rfc/SKILL.md	no-label	0.377	1	1	-0.4959650747453367	21	8	0	2	0	4			1.318	++ | # RFC Ideation | ## Overview	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add RFC-shaped output with discovery questions			MAYBE	
brainstorming	90	majiayu000/claude-skill-registry-data	product/brainstorming-features/SKILL.md	main	https://github.com/majiayu000/claude-skill-registry-data/blob/main/product/brainstorming-features/SKILL.md	no-label	0.349	1	1	-0.3870220928694272	25	9	0	3	0	5			1.36	++ | # Brainstorming Features | ## Overview	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add context-gathering and feature-structure template			PARTIAL	
