group_id	repository	path	ref	direct_skill_url	archetype	relatedness_score	group_member_count	occurrence_count	length_delta	added_headings	removed_headings	added_commands	removed_commands	added_cross_skill_refs	removed_cross_skill_refs	routing_signals	wrapper_signals	workflow_structure_delta	placeholder_signal	short_added_excerpt	short_removed_excerpt	meaningful_behavior_change	motif_1	motif_2	motif_3	worth_reviewing	notes
53	GuicedEE/ai-rules	skills/.curated/systematic-debugging/SKILL.md	master	https://github.com/GuicedEE/ai-rules/blob/master/skills/.curated/systematic-debugging/SKILL.md	compact-rewrite	0.584	1	1	-0.9069792450801162	4	14	0	3	0	0			1.2	0.0	++ | Always investigate root cause before proposing fixes. | ## Core Rule	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Compress into Core-Rule + Workflow + When-stuck; add stop-when-stuck rule			YES	
54	SethGammon/Citadel	skills/systematic-debugging/SKILL.md	main	https://github.com/SethGammon/Citadel/blob/main/skills/systematic-debugging/SKILL.md	workflow-specialization	0.465	1	1	-0.4614474674696204	12	14	1	2	0	0	don't use		1.733	0.0	++ | # /systematic-debugging — Root Cause Before Fix | ## Orientation	-- | # Systematic Debugging | ## Overview	YES	Add Emergency Stop Rule + orientation with use/don't-use boundaries			YES	
55	hnb-rabear/RCore	.agents/skills/systematic-debugging/SKILL.md	main	https://github.com/hnb-rabear/RCore/blob/main/.agents/skills/systematic-debugging/SKILL.md	compact-rewrite	0.529	1	1	-0.7515861920636627	2	10	0	3	0	0			0.8	0.0	++ | > Adapted from [superpowers:systematic-debugging](https://github.com/obra/superpowers) | NEVER guess at fixes. Find the root cause FIRST.	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Adapt iron law into never-guess and resist-impulse			PARTIAL	
56	jed72/compass	skills/systematic-debugging/SKILL.md	main	https://github.com/jed72/compass/blob/main/skills/systematic-debugging/SKILL.md	compact-rewrite	0.477	1	1	-0.5148940746316808	6	14	1	2	0	0			1.333	0.0	++ | A test failed and you did not expect it to. The reflex is to change something | plausible and re-run. That reflex is why debugging sessions get long: each	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add single-hypothesis test escape clause: 3 failed fixes = framing is wrong			YES	
57	baphuongna/pi-crew	skills/systematic-debugging/SKILL.md	main	https://github.com/baphuongna/pi-crew/blob/main/skills/systematic-debugging/SKILL.md	compact-rewrite	0.469	1	1	-0.5028497687923432	11	15	0	2	1	0			1.733	0.0	++ | # systematic-debugging | Core principle: no fixes without root-cause investigation first. Symptom patches create new bugs and hide the real failure.	-- | # Systematic Debugging | ## Overview	YES	Add Invocation + Refuse Gate (do not proceed without prerequisites)			MAYBE	
58	Archive228/loopkit	skills/systematic-debugging/SKILL.md	main	https://github.com/Archive228/loopkit/blob/main/skills/systematic-debugging/SKILL.md	compact-rewrite	0.542	1	1	-0.8452521776535111	3	14	0	3	0	0			1.133	0.0	"++ | The single most expensive agent failure: seeing an error and immediately generating a | ""fix"" based on the error type, without reading what actually happened. Don't."	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add stop conditions + 5-step loop; stop after bad guesses			YES	
59	sammcj/agentic-coding	Skills/systematic-debugging/SKILL.md	main	https://github.com/sammcj/agentic-coding/blob/main/Skills/systematic-debugging/SKILL.md	workflow-specialization	0.444	1	1	-0.4879019249381654	9	15	0	3	0	0			1.6	0.0	++ | # Systematic Debugging with Fagan Inspection | This skill applies a modified Fagan Inspection methodology for systematic problem resolution when facing complex problems or stubborn bugs t	-- | # Systematic Debugging | ## Overview	YES	Import Fagan Inspection methodology as novel workflow			PARTIAL	
60	David-Li0406/meta-skill-evloving	skill-flow/data/skills-refined-36k/skillsmp/systematic-debugging-53/SKILL.md	main	https://github.com/David-Li0406/meta-skill-evloving/blob/main/skill-flow/data/skills-refined-36k/skillsmp/systematic-debugging-53/SKILL.md	compact-rewrite	0.492	1	1	-0.7245940423701474	9	15	0	1	0	0			1.6	0.0	++ | ## What I Do | - Guide systematic root cause analysis	-- | # Systematic Debugging | ## Overview	YES	Rebuild as first-person What-I-Do phases REPRODUCE/ISOLATE/IDENTIFY/FIX			PARTIAL	
61	RakuenSoftware/aimee	skills/systematic-debugging/SKILL.md	testing	https://github.com/RakuenSoftware/aimee/blob/testing/skills/systematic-debugging/SKILL.md	compact-rewrite	0.529	1	1	-0.9252607807291107	0	14	0	3	0	0			0.933	0.0	++ | Start with evidence, not guesses. | 1. Reproduce the failure with the smallest command, input, or trace available.	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Start with evidence-not-guesses; minimal repro command rule			MAYBE	
62	metaspartan/cybara	skills/systematic-debugging/SKILL.md	main	https://github.com/metaspartan/cybara/blob/main/skills/systematic-debugging/SKILL.md	compact-rewrite	0.501	1	1	-0.8223464888697709	3	14	0	1	0	0			1.133	0.0	"++ | A disciplined loop that finds the true root cause before changing code. Skipping it is the #1 cause of ""fixes"" that regress or don't hold. | ## The loop"	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add disciplined loop + anti-patterns + when-stuck			PARTIAL	
63	DYAI2025/Plumbline	config/claude/skills/systematic-debugging/SKILL.md	main	https://github.com/DYAI2025/Plumbline/blob/main/config/claude/skills/systematic-debugging/SKILL.md	compact-rewrite	0.523	1	1	-0.9607484675771588	1	14	0	3	0	0			1.0	0.0	++ | ## Loop | 1. Reproduce the failure with the smallest exact command.	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add one-hypothesis-at-a-time + falsify via instrumentation			YES	
64	DDS-Solutions/AI-TadPole-OS	.agent/skills/systematic-debugging/SKILL.md	main	https://github.com/DDS-Solutions/AI-TadPole-OS/blob/main/.agent/skills/systematic-debugging/SKILL.md	compact-rewrite	0.445	1	1	-0.6086675986665233	21	13	1	1	0	0			1.478	0.0	++ | > [!IMPORTANT] | > **AI Context & Knowledge Heritage**	-- | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure. | **Violating the letter of this process is violating the spirit of debugging.**	YES	Add reproduction gate sign-off + feedback-loop quality criteria			PARTIAL	
65	majiayu000/claude-skill-registry-data	development/unknown-a5c-ai-babysitter-25/SKILL.md	main	https://github.com/majiayu000/claude-skill-registry-data/blob/main/development/unknown-a5c-ai-babysitter-25/SKILL.md	compact-rewrite	0.501	1	1	-0.8845037100763523	3	12	0	3	0	0			1.0	0.0	++ | Structured approach to investigating and resolving defects using hypothesis-driven methodology rather than trial-and-error. | - Step verification fails during implementation	-- | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure. | **Violating the letter of this process is violating the spirit of debugging.**	YES	Add Key Rules + Tool Use sections			PARTIAL	
66	muyen/vibe-to-prod	.claude/skills/systematic-debugging/SKILL.md	main	https://github.com/muyen/vibe-to-prod/blob/main/.claude/skills/systematic-debugging/SKILL.md	compact-rewrite	0.464	1	1	-0.6898591246370578	20	15	1	1	1	0			1.75	0.0	++ | # Systematic Debugging Skill | Apply structured 4-phase debugging to find root causes, not just symptoms.	-- | # Systematic Debugging | ## Overview	YES	Add Debugging Commands section + 4-phase repro/isolate/identify/fix			PARTIAL	
67	ericbusboom/dotconfig	.agents/skills/systematic-debugging/SKILL.md	master	https://github.com/ericbusboom/dotconfig/blob/master/.agents/skills/systematic-debugging/SKILL.md	compact-rewrite	0.469	1	1	-0.7501881922787397	7	13	0	1	1	0			1.333	0.0	++ | # Systematic Debugging Skill | A structured debugging protocol that replaces ad hoc fix attempts.	-- | # Systematic Debugging | ## Overview	YES	Add Three-Attempt Cap + trigger conditions			YES	
68	byerlikaya/claude-starter-kit	plugin/skills/systematic-debugging/SKILL.md	main	https://github.com/byerlikaya/claude-starter-kit/blob/main/plugin/skills/systematic-debugging/SKILL.md	compact-rewrite	0.431	1	1	-0.5860845252177653	5	14	1	1	2	0			1.267	0.0	++ | <!-- routing-eval reads this line; it lives in the BODY so the always-on skill LISTING stays inside | Claude Code's budget (1% of the context window) — an overflowing listing gets descriptions	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add checklist of anti-patterns + techniques-by-symptom + invariant rules with context-budget note			YES	
69	New1Direction/korgex	src/skills_builtin/systematic-debugging/SKILL.md	main	https://github.com/New1Direction/korgex/blob/main/src/skills_builtin/systematic-debugging/SKILL.md	compact-rewrite	0.499	1	1	-0.8952575545757608	0	15	0	3	0	0			1.0	0.0	++ | Resist the urge to guess-and-patch. A bug you can't reproduce isn't fixed. | 1. **Reproduce reliably.** Find the smallest, deterministic way to trigger it.	-- | # Systematic Debugging | ## Overview	YES	Add reproduce-or-don't-fix rule; unstructured but strong			MAYBE	
70	aiskillstore/marketplace	skills/doyajin174/systematic-debugging/SKILL.md	main	https://github.com/aiskillstore/marketplace/blob/main/skills/doyajin174/systematic-debugging/SKILL.md	compact-rewrite	0.501	1	2	-0.8348209484890848	14	11	0	3	0	0			1.389	0.0	++ | 버그, 테스트 실패, 예상치 못한 동작에 대한 체계적 디버깅 방법론입니다. | ## Core Principle	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Korean-language rebuild; mandatory phases + critical rules			MAYBE	
71	tien226anh/agents-assistant-kit	skills/systematic-debugging/SKILL.md	main	https://github.com/tien226anh/agents-assistant-kit/blob/main/skills/systematic-debugging/SKILL.md	compact-rewrite	0.436	1	1	-0.6532960533390687	8	13	1	2	0	0			1.4	0.0	++ | Deep-dive debugging techniques for hard bugs that resist normal troubleshooting. Use this when `debug-assistant` hasn't resolved the issue. | - You've tried `debug-assistant` but the bug persists	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Route to debug-assistant escalation + command safety			PARTIAL	
72	funky-eyes/best-copilot	skills/systematic-debugging/SKILL.md	main	https://github.com/funky-eyes/best-copilot/blob/main/skills/systematic-debugging/SKILL.md	compact-rewrite	0.498	1	1	-0.9423593934831702	2	14	0	3	0	0			1.067	0.0	++ | ## Loop | 1. Capture the exact failure and reproduction path.	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add ranked-hypotheses + cheapest-falsification-check rule			PARTIAL	
73	yywmrz/antigravity-superpowers	skills-en/systematic-debugging/SKILL.md	main	https://github.com/yywmrz/antigravity-superpowers/blob/main/skills-en/systematic-debugging/SKILL.md	compact-rewrite	0.465	1	1	-0.8194429508549307	11	15	1	3	1	0			1.733	0.0	++ | # Systematic Debugging Skill | Follow a structured debugging process, avoid blind guessing.	-- | # Systematic Debugging | ## Overview	YES	Add Evidence-First + One-Variable-at-a-Time core principles			PARTIAL	
74	meta-secret/meta-secret-core	.ai/skills/systematic-debugging/SKILL.md	main	https://github.com/meta-secret/meta-secret-core/blob/main/.ai/skills/systematic-debugging/SKILL.md	compact-rewrite	0.479	1	2	-0.8908484783310033	14	14	0	3	1	0			1.867	0.0	++ | You debug problems using root-cause analysis. | ## Goals	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add goals / hard rules / read-first structure			PARTIAL	
75	spencerpauly/awesome-cursor-skills	resources/systematic-debugging/SKILL.md	main	https://github.com/spencerpauly/awesome-cursor-skills/blob/main/resources/systematic-debugging/SKILL.md	compact-rewrite	0.416	1	2	-0.6550166684589741	11	14	3	1	0	0			1.667	0.0	++ | Debug methodically instead of randomly changing code. | ## The Process	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add git bisect isolation workflow			PARTIAL	
76	eng-cc/oasis7	.agents/skills/systematic-debugging/SKILL.md	main	https://github.com/eng-cc/oasis7/blob/main/.agents/skills/systematic-debugging/SKILL.md	compact-rewrite	0.45	1	1	-0.8106247983654157	5	13	1	2	0	0			1.2	0.0	++ | Use this skill before proposing or applying a fix for: | - failing tests	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Build as project-specific surfaces + guardrails with workflow			PARTIAL	
77	vstorm-co/pydantic-deepagents	apps/cli/skills/systematic-debugging/SKILL.md	main	https://github.com/vstorm-co/pydantic-deepagents/blob/main/apps/cli/skills/systematic-debugging/SKILL.md	compact-rewrite	0.417	1	2	-0.7023335842563716	12	14	1	3	0	0			1.733	0.0	++ | A structured approach to finding and fixing bugs. | ## The Debugging Loop	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add 5-step loop never-skip rule			PARTIAL	
78	vrennat/developersDevelopers	skills/systematic-debugging/SKILL.md	main	https://github.com/vrennat/developersDevelopers/blob/main/skills/systematic-debugging/SKILL.md	compact-rewrite	0.463	1	1	-0.8632110979675234	2	14	1	3	0	0			1.067	0.0	++ | Fires when execution produces a real failure: a test error, a stack trace, a non-zero exit code, or output that contradicts the expected beh | ## Procedure	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add procedure + example; minimal			PARTIAL	
79	kodi/topchester-agent	skills/systematic-debugging/SKILL.md	main	https://github.com/kodi/topchester-agent/blob/main/skills/systematic-debugging/SKILL.md	compact-rewrite	0.463	1	1	-0.9317130874287558	2	13	0	2	0	0			1.0	0.0	++ | Use when something fails, flakes, regresses, or behaves differently between environments. | ## Procedure	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Minimal loop + output; evidence-first			PARTIAL	
80	charlieviettq/awesome-agent-skill	.claude/skills/systematic-debugging/SKILL.md	main	https://github.com/charlieviettq/awesome-agent-skill/blob/main/.claude/skills/systematic-debugging/SKILL.md	compact-rewrite	0.423	1	1	-0.8014840305409183	10	13	0	3	0	0			1.533	0.0	++ | # Systematic debugging | ## Iron law	-- | # Systematic Debugging | ## Overview	YES	Given project-specific; preserve iron law			MAYBE	
81	tridentsof/antigravity-dev-kit	.agents/skills/systematic-debugging/SKILL.md	main	https://github.com/tridentsof/antigravity-dev-kit/blob/main/.agents/skills/systematic-debugging/SKILL.md	compact-rewrite	0.414	1	1	-0.8016991074309066	10	14	0	3	0	0			1.6	0.0	++ | > Find root causes, not just symptoms. | ---	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Restructured workflow with explicit trigger			MAYBE	
82	dshakes/compass	claude/skills/systematic-debugging/SKILL.md	main	https://github.com/dshakes/compass/blob/main/claude/skills/systematic-debugging/SKILL.md	compact-rewrite	0.421	1	1	-0.8393375631788365	3	14	0	3	0	0			1.133	0.0	++ | # Systematic debugging | Fix the cause, not the symptom — and prove the cause before you touch code.	-- | # Systematic Debugging | ## Overview	YES	Evidence-gathering phase dedicated			MAYBE	
83	gabrielmoreira/agent-skills-mirror	mirrors/repos/Dokhacgiakhoa@Agent-Skills-4-Vibe-Coding-CLI/.agent/skills/systematic-debugging/SKILL.md	main	https://github.com/gabrielmoreira/agent-skills-mirror/blob/main/mirrors/repos/Dokhacgiakhoa@Agent-Skills-4-Vibe-Coding-CLI/.agent/skills/systematic-debugging/SKILL.md	compact-rewrite	0.441	1	1	-0.9373050865684482	7	13	0	3	5	0			1.333	0.0	++ | > Source: obra/superpowers | This skill provides a structured approach to debugging that prevents random guessing and ensures problems are properly understood before sol	-- | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure. | **Violating the letter of this process is violating the spirit of debugging.**	YES	Add instrument/photograph-instrument loop before hypothesizing			PARTIAL	
84	AtharvaMate/autoskill	scripts/author-skill.md	main	https://github.com/AtharvaMate/autoskill/blob/main/scripts/author-skill.md	no-label	0.388	1	1	0.258199806430799	43	12	4	1	10	0			1.196	0.0	++ | # Skill Authoring Agent | You are authoring a SKILL.md file for a Claude Code skill based on an observed user pattern.	-- | **Violating the letter of this process is violating the spirit of debugging.** | ## When to Use	YES	Compact with invoke/refuse gate			MAYBE	
85	vamseeachanta/workspace-hub	.claude/skills/_archive/development/systematic-debugging/error-handling/SKILL.md	main	https://github.com/vamseeachanta/workspace-hub/blob/main/.claude/skills/_archive/development/systematic-debugging/error-handling/SKILL.md	no-label	0.379	1	1	-0.9607484675771588	1	15	0	3	0	0			1.067	0.0	++ | # Error Handling | ## Error Handling	-- | # Systematic Debugging | ## Overview	YES	Given project-specific commands			MAYBE	
